airline,avail_seat_km_per_week,incidents_85_99,incidents_00_14,safety_rating,Unnamed:3
Aer Lingus,320906734,2,0,3,NaN
Aeroflot*,1197672318,76,6,1,NaN
Aerolineas Argentinas,385803648,6,1,3,NaN
Aeromexico*,596871813,3,5,2,NaN
Air Canada,1865253802,2,2,1,NaN
Air France,3004002661,14,6,1,NaN
Air India*,869253552,2,4,1,NaN
Air New Zealand*,710174817,3,5,2,NaN
Alaska Airlines*,965346773,5,5,1,NaN
Alitalia,698012498,7,4,2,NaN
All Nippon Airways,1841234177,3,7,1,NaN
American*,5228357340,21,17,1,NaN
Austrian Airlines,358239823,1,1,3,NaN
Avianca,396922563,5,0,3,NaN
British Airways*,3179760952,4,6,1,NaN
Cathay Pacific*,2582459303,0,2,1,NaN
China Airlines,813216487,12,2,2,NaN
Condor,417982610,2,0,3,NaN
COPA,550491507,3,0,2,NaN
Delta / 1rthwest*,6525658894,24,24,1,NaN
Egyptair,557699891,8,4,2,NaN
El Al,335448023,1,1,3,NaN
Ethiopian Airlines,488560643,25,5,3,NaN
Finnair,506464950,1,0,2,NaN
Garuda Indonesia,613356665,10,4,2,NaN
Gulf Air,301379762,1,3,3,NaN
Hawaiian Airlines,493877795,0,1,3,NaN
Iberia,1173203126,4,5,1,NaN
Japan Airlines,1574217531,3,0,1,NaN
Kenya Airways,277414794,2,2,3,NaN
KLM*,1874561773,7,1,1,NaN
Korean Air,1734522605,12,1,1,NaN
LAN Airlines,1001965891,3,0,1,NaN
Lufthansa*,3426529504,6,3,1,NaN
Malaysia Airlines,1039171244,3,3,1,NaN
Pakistan International,348563137,8,10,3,NaN
Philippine Airlines,413007158,7,2,3,NaN
Qantas*,1917428984,1,5,1,NaN
Royal Air Maroc,295705339,5,3,3,NaN
SAS*,682971852,5,6,2,NaN
Saudi Arabian,859673901,7,11,1,NaN
Singapore Airlines,2376857805,2,2,3,NaN
South African,651502442,2,1,2,NaN
Southwest Airlines,3276525770,1,8,1,NaN
Sri Lankan / AirLanka,325582976,2,4,3,NaN
SWISS*,792601299,2,3,2,NaN
TACA,259373346,3,1,3,NaN
TAM,1509195646,8,7,1,NaN
TAP - Air Portugal,619130754,0,0,2,NaN
Thai Airways,1702802250,8,2,1,NaN
Turkish Airlines,1946098294,8,8,1,NaN
United / Continental*,7139291291,19,14,1,NaN
US Airways / America West*,2455687887,16,11,1,NaN
Vietnam Airlines,625084918,7,1,2,NaN
Virgin Atlantic,1005248585,1,0,1,NaN
Xiamen Airlines,430462962,9,2,3,NaN
